
baseball,MLB,AL Central,American League Central,American League Central
baseball,MLB,AL East,American League East,American League East
baseball,MLB,AL West,American League West,American League West
baseball,MLB,NL Central,National League Central,National League Central
baseball,MLB,NL East,National League East,National League East
baseball,MLB,NL West,National League West,National League West
football,NFL,AFC East,American Football Conference East,American Football Conference East
football,NFL,AFC North,American Football Conference North,American Football Conference North
football,NFL,AFC South,American Football Conference South,American Football Conference South
football,NFL,AFC West,American Football Conference West,American Football Conference West
football,NFL,NFC East,National Football Conference East,National Football Conference East
football,NFL,NFC North,National Football Conference North,National Football Conference North
football,NFL,NFC South,National Football Conference South,National Football Conference South
football,NFL,NFC West,National Football Conference West,National Football Conference West
