
OT,66,"Graf, Kevin",ACT,G,--,GS,--,,,,,IND
FS,32,"Green, T.J.",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
FS,27,"Guy, Winston",ACT,TCKL,6,SCK,0,FF,0,INT,--,IND
OT,73,"Haeg, Joe",ACT,G,--,GS,--,,,,,IND
C,72,"Harrison, Jonotthan",ACT,G,16,GS,9,,,,,IND
DB,38,"Hightower, Lee",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
WR,13,"Hilton, T.Y.",ACT,REC,69,YDS,1124.0,AVG,16.3,TDS,5,IND
TE,47,"Igwenagu, Emil",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
ILB,56,"Irving, Nate",ACT,TCKL,14,SCK,1,FF,1,INT,--,IND
ILB,52,"Jackson, D'Qwell",ACT,TCKL,150,SCK,3,FF,1,INT,1,IND
LB,53,"Jackson, Edwin",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DE,97,"Jones, Arthur",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
C,78,"Kelly, Ryan",ACT,G,--,GS,--,,,,,IND
DE,94,"Kerr, Zach",ACT,TCKL,29,SCK,0,FF,0,INT,--,IND
DE,90,"Langford, Kendall",ACT,TCKL,38,SCK,7,FF,0,INT,--,IND
WR,8,"Leak, Marcus",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
QB,12,"Luck, Andrew",ACT,TDS,15,INT,12,YDS,1881.0,RTG,74.9,IND
DT,68,"Lumpkin, Ricky",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OLB,92,"Maggitt, Curt",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OLB,98,"Mathis, Robert",ACT,TCKL,20,SCK,7,FF,1,INT,--,IND
P,1,"McAfee, Pat",ACT,PUNTS,85,AVG,47.7,LNG,63,IN 20,28,IND
DB,42,"McClure, Stefan",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
TE,89,"McFarland, Mike",RES,REC,--,YDS,--,AVG,--,TDS,--,IND
DT,99,"McGill, T.Y.",ACT,TCKL,11,SCK,3,FF,0,INT,--,IND
WR,2,"McKay, Mekale",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
ILB,57,"McNary, Josh",ACT,TCKL,14,SCK,0,FF,0,INT,--,IND
OG,75,"Mewhort, Jack",ACT,G,16,GS,16,,,,,IND
DB,40,"Milton, Chris",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
CB,43,"Mitchel, Tevin",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
WR,10,"Moncrief, Donte",ACT,REC,64,YDS,733,AVG,11.5,TDS,6,IND
LB,51,"Moore, Sio",ACT,TCKL,13,SCK,0,FF,0,INT,--,IND
QB,7,"Morris, Stephen",ACT,TDS,0,INT,0,YDS,0,RTG,0,IND
ILB,44,"Morrison, Antonio",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OG,65,"O'Brien, Kitt",ACT,G,--,GS,--,,,,,IND
LB,95,"Okine, Earl",ACT,TCKL,5,SCK,0,FF,0,INT,--,IND
WR,,"Opoku, Andrew",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
LS,45,"Overton, Matt",ACT,G,16,GS,0,,,,,IND
NT,54,"Parry, David",ACT,TCKL,31,SCK,1,FF,0,INT,--,IND
RB,35,"Price, Chase",ACT,CAR,--,YDS,--,AVG,--,TDS,--,IND
DT,64,"Quarles, Kelcy",ACT,TCKL,0,SCK,--,FF,--,INT,--,IND
OG,61,"Redmond, Adam",ACT,G,--,GS,--,,,,,IND
OT,76,"Reitz, Joe",ACT,G,16,GS,14,,,,,IND
TE,49,"Reuland, Konrad",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
DT,91,"Ridgeway, Hassan",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DB,25,"Robinson, Patrick",ACT,TCKL,49,SCK,0,FF,1,INT,1,IND
WR,3,"Rogers, Chester",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
DB,35,"Rose, Winston",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
ILB,47,"Sarao, Anthony",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
DE,65,"Simmons, Delvon",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
CB,30,"Smith, D'Joun",ACT,TCKL,1,SCK,0,FF,0,INT,--,IND
WR,5,"Smith, Tevaun",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
FS,41,"Southward, Dezmen",ACT,TCKL,1,SCK,0,FF,0,INT,--,IND
WR,14,"Stangby, Joshua",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
TE,86,"Swoope, Erik",ACT,REC,--,YDS,--,AVG,--,TDS,--,IND
LB,48,"Sylvestre, Junior",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
LB,59,"Thompson, Ron",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
G,69,"Thornton, Hugh",ACT,G,13,GS,12,,,,,IND
RB,28,"Todman, Jordan",ACT,CAR,4,YDS,22,AVG,5.5,TDS,0,IND
QB,16,"Tolzien, Scott",ACT,TDS,0,INT,0,YDS,4,RTG,83.3,IND
RB,33,"Turbin, Robert",ACT,CAR,50,YDS,199,AVG,4,TDS,1,IND
OT,79,"Van Dyk, Mitchell",ACT,G,--,GS,--,,,,,IND
K,4,"Vinatieri, Adam",ACT,FGA,27,FGM,25,PCT,92.6,LNG,55,IND
T,60,"Vujnovich, Jeremy",ACT,G,--,GS,--,,,,,IND
OLB,93,"Walden, Erik",ACT,TCKL,42,SCK,3,FF,1,INT,--,IND
DB,37,"White, Darius",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
OG,60,"Williams, Donovan",ACT,G,--,GS,--,,,,,IND
CB,46,"Williams, Frankie",ACT,TCKL,--,SCK,--,FF,--,INT,--,IND
RB,40,"Williams, Trey",ACT,CAR,2,YDS,12,AVG,6,TDS,0,IND
DB,36,"Williamson, Andrew",RES,TCKL,--,SCK,--,FF,--,INT,--,IND
QB,9,"Allen, Brandon",ACT,TDS,--,INT,--,YDS,--,RTG,--,JAX
DT,93,"Alualu, Tyson",ACT,TCKL,26,SCK,2,FF,0,INT,--,JAX
DB,21,"Amukamara, Prince",ACT,TCKL,63,SCK,0,FF,1,INT,1,JAX
OLB,57,"Armbrister, Thurston",ACT,TCKL,23,SCK,0,FF,0,INT,--,JAX
NT,94,"Ash, Richard",ACT,TCKL,0,SCK,--,FF,--,INT,--,JAX
RB,29,"Banyard, Joe",ACT,CAR,--,YDS,--,AVG,--,TDS,--,JAX
DT,79,"Barnes, T.J.",ACT,TCKL,4,SCK,0,FF,0,INT,0,JAX
OLB,54,"Bartu, Joplo",ACT,TCKL,12,SCK,0,FF,0,INT,0,JAX
T,68,"Beachum, Kelvin",ACT,G,6,GS,6,,,,,JAX
WR,17,"Benn, Arrelious",ACT,REC,--,YDS,--,AVG,--,TDS,--,JAX
DT,96,"Bennett, Michael",ACT,TCKL,10,SCK,0.5,FF,0,INT,--,JAX
OL,74,"Bernadeau, Mackenzy",ACT,G,16,GS,1,,,,,JAX
WR,14,"Blackmon, Justin",SUS,REC,--,YDS,--,AVG,--,TDS,--,JAX
CB,30,"Boddy-Calhoun, Briean",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
QB,5,"Bortles, Blake",ACT,TDS,35,INT,18,YDS,4428.0,RTG,88.2,JAX
C,70,"Bowanko, Luke",ACT,G,6,GS,0,,,,,JAX
TE,86,"Bowman, Braedon",ACT,REC,--,YDS,--,AVG,--,TDS,--,JAX
OG,60,"Cann, A.J.",ACT,G,14,GS,13,,,,,JAX
CB,22,"Colvin, Aaron",ACT,TCKL,73,SCK,4,FF,1,INT,--,JAX
SS,37,"Cyprien, Johnathan",ACT,TCKL,108,SCK,0,FF,1,INT,1,JAX
DE,59,"Davis, Ryan",ACT,TCKL,11,SCK,3.5,FF,1,INT,--,JAX
DT,92,"Day, Sheldon",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
G,73,"Edwards, Kadeem",ACT,G,--,GS,--,,,,,JAX
FS,26,"Evans, Josh",ACT,TCKL,53,SCK,0,FF,1,INT,--,JAX
WR,84,"Evans, Shaq",ACT,REC,--,YDS,--,AVG,--,TDS,--,JAX
K,1,"Ficken, Sam",ACT,FGA,--,FGM,--,PCT,--,LNG,--,JAX
DE,56,"Fowler, Dante",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
DB,39,"Gipson, Tashaun",ACT,TCKL,60,SCK,0,FF,0,INT,2,JAX
RB,30,"Grant, Corey",ACT,CAR,6,YDS,2,AVG,0.3,TDS,0,JAX
CB,27,"Gratz, Dwayne",ACT,TCKL,27,SCK,0,FF,0,INT,--,JAX
RB,34,"Gray, Jonas",RES,CAR,45,YDS,176,AVG,3.9,TDS,0,JAX
WR,13,"Greene, Rashad",ACT,REC,19,YDS,93,AVG,4.9,TDS,2,JAX
QB,7,"Henne, Chad",ACT,TDS,--,INT,--,YDS,--,RTG,0,JAX
OT,67,"Hill, Rashod",ACT,G,--,GS,--,,,,,JAX
DB,48,"Hilton, Mike",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
DE,49,"Holmes, Tyrone",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
CB,31,"House, Davon",ACT,TCKL,60,SCK,0,FF,1,INT,4,JAX
WR,88,"Hurns, Allen",ACT,REC,64,YDS,1031.0,AVG,16.1,TDS,10,JAX
RB,33,"Ivory, Chris",ACT,CAR,247,YDS,1070.0,AVG,4.3,TDS,7,JAX
OLB,44,"Jack, Myles",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
DT,90,"Jackson, Malik",ACT,TCKL,45,SCK,5,FF,0,INT,--,JAX
TE,85,"Jacobs, Nic",ACT,REC,1,YDS,6,AVG,6,TDS,0,JAX
T,76,"Joeckel, Luke",ACT,G,14,GS,14,,,,,JAX
CB,36,"Johnson, Josh",ACT,TCKL,--,SCK,--,FF,--,INT,--,JAX
DT,95,"Jones, Abry",ACT,TCKL,17,SCK,2,FF,1,INT,--,JAX
TE,83,"Koyack, Ben",ACT,REC,--,YDS,--,AVG,--,TDS,--,JAX
WR,18,"Lawrence, Rashad",ACT,REC,--,YDS,--,AVG,--,TDS,--,JAX
WR,11,"Lee, Marqise",ACT,REC,15,YDS,191,AVG,12.7,TDS,1,JAX
TE,89,"Lewis, Marcedes",ACT,REC,16,YDS,226,AVG,14.1,TDS,0,JAX
G,65,"Linder, Brandon",ACT,G,3,GS,3,,,,,JAX
OT,62,"Linkenbach, Jeffrey",ACT,G,10,GS,0,,,,,JAX
DT,99,"Marks, Sen'Derrick",ACT,TCKL,6,SCK,0,FF,0,INT,--,JAX
CB,41,"Marshall, Nick",ACT,TCKL,13,SCK,0,FF,0,INT,--,JAX
OG,61,"McClendon, Jacques",ACT,G,3,GS,0,,,,,JAX
WR,11,"Aiken, Kamar",ACT,REC,75,YDS,944,AVG,12.6,TDS,5,BAL
RB,37,"Allen, Javorius",ACT,CAR,137,YDS,514,AVG,3.8,TDS,1,BAL
CB,24,"Arrington, Kyle",ACT,TCKL,28,SCK,0,FF,1,INT,--,BAL
