
506560,Alexi Amarista,3B,SD,San Diego Padres,L,R,1989,55889,amarial01,Alexi Amarista,1735053,Alexi Amarista,2B,30562,Alexi Amarista,2B,9063,Alexi Amarista,amarial01,8914,Alexi Amarista,SS,amara001,Alexi Amarista,4/26/2011,8914,Alexi Amarista,SS/3B,
458210,Alexi Casilla,2B,TB,Tampa Bay Rays,S,R,1984,45799,casilal01,Alexi Casilla,1103724,Alexi Casilla,3B,28575,Alexi Casilla,3B,5248,Alexi Casilla,casilal01,7855,Alexi Casilla,2B,casia001,Alexi Casilla,9/1/2006,7855,Alexi Casilla,2B/SS,
468396,Alexi Ogando,P,ATL,Atlanta Braves,R,R,1983,49910,ogandal01,Alexi Ogando,1174266,Alexi Ogando,RP,30549,Alexi Ogando,RP,10261,Alexi Ogando,ogandal01,8743,Alexi Ogando,P,ogana001,Alexi Ogando,6/15/2010,8743,Alexi Ogando,RP/SP,
469686,Alfredo Aceves,P,NYY,New York Yankees,R,R,1982,46928,aceveal01,Alfredo Aceves,1638980,Alfredo Aceves,RP,29223,Alfredo Aceves,RP,5164,Alfredo Aceves,aceveal01,8336,Alfredo Aceves,P,aceva001,Alfredo Aceves,8/31/2008,8336,Alfredo Aceves,RP/SP,
451628,Alfredo Figaro,P,TEX,Texas Rangers,R,R,1984,52453,figaral01,Alfredo Figaro,1654334,Alfredo Figaro,RP,30067,Alfredo Figaro,RP,8404,Alfredo Figaro,figaral01,8513,Alfredo Figaro,P,figaa001,Alfredo Figaro,6/20/2009,8513,Alfredo Figaro,RP/SP,
554054,Alfredo Gonzalez,C,CWS,Chicago White Sox,R,R,1992,69201,,,2210083,Alfredo Gonzalez,C,34844,Alfredo Gonzalez,C,sa505301,Alfredo Gonzalez,,,,,,,2/2/2222,,,,
501245,Alfredo Marte,LF,BAL,Baltimore Orioles,R,R,1989,51755,marteal01,Alfredo Marte,1956711,Alfredo Marte,LF,32251,Alfredo Marte,LF,5212,Alfredo Marte,marteal01,9354,Alfredo Marte,LF,marta005,Alfredo Marte,4/2/2013,9354,Alfredo Marte,LF/RF,
430580,Alfredo Simon,P,CIN,Cincinnati Reds,R,R,1981,45581,simonal01,Alfredo Simon,448968,Alfredo Simon,SP,28699,Alfredo Simon,SP,2155,Alfredo Simon,simonal01,7975,Alfredo Simon,P,simoa001,Alfredo Simon,9/6/2008,7975,Alfredo Simon,SP/RP,
455378,Ali Solis,C,LAD,Los Angeles Dodgers,R,R,1987,52362,solisal01,Ali Solis,1946524,Ali Solis,C,32114,Ali Solis,C,8848,Ali Solis,solisal01,9304,Ali Solis,C,solia001,Ali Solis,9/16/2012,9304,Ali Solis,C,
488852,Allan Dykstra,1B,TB,Tampa Bay Rays,L,R,1987,57813,dykstal01,Allan Dykstra,1960245,Allan Dykstra,1B,32361,Allan Dykstra,1B,9113,Allan Dykstra,,9922,Allan Dykstra,1B,dyksa001,Allan Dykstra,4/8/2015,9922,Allan Dykstra,1B,
501800,Allen Craig,1B,BOS,Boston Red Sox,R,R,1984,51043,craigal01,Allen Craig,1661498,Allen Craig,RF,30399,Allen Craig,RF,3433,Allen Craig,craigal01,8649,Allen Craig,RF,craia001,Allen Craig,4/8/2010,8649,Allen Craig,RF/1B,
543903,Allen Webster,P,PIT,Pittsburgh Pirates,R,R,1990,58787,webstal01,Allen Webster,1799467,Allen Webster,RP,31119,Allen Webster,RP,3993,Allen Webster,webstal01,9249,Allen Webster,P,websa001,Allen Webster,4/21/2013,9249,Allen Webster,SP,
607237,Amir Garrett,P,CIN,Cincinnati Reds,R,L,1992,70946,,,2053474,Amir Garrett,SP,33652,Amir Garrett,SP,sa599236,Amir Garrett,,10171,Amir Garrett,P,,,2/2/2222,10171,Amir Garrett,SP,
444843,Andre Ethier,RF,LAD,Los Angeles Dodgers,L,L,1982,45962,ethiean01,Andre Ethier,490390,Andre Ethier,RF,6481,Andre Ethier,RF,6265,Andre Ethier,ethiean01,7710,Andre Ethier,RF,ethia001,Andre Ethier,5/2/2006,7710,Andre Ethier,RF/LF,
516589,Andre Rienzo,P,MIA,Miami Marlins,R,R,1988,56638,rienzan01,Andre Rienzo,2027388,Andre Rienzo,RP,31935,Andre Rienzo,RP,3507,Andre Rienzo,rienzan01,9473,Andre Rienzo,P,riena001,Andre Rienzo,7/30/2013,9473,Andre Rienzo,RP,
592743,Andrelton Simmons,SS,LAA,Los Angeles Angels,R,R,1989,67119,simmoan01,Andrelton Simmons,1918584,Andrelton Simmons,SS,31728,Andrelton Simmons,SS,10847,Andrelton Simmons,simmoan01,9201,Andrelton Simmons,SS,simma001,Andrelton Simmons,6/2/2012,9201,Andrelton Simmons,SS,SS1
433217,Andres Blanco,2B,PHI,Philadelphia Phillies,S,R,1984,32835,blancan01,Andres Blanco,392116,Andres Blanco,2B,5943,Andres Blanco,2B,1907,Andres Blanco,blancan01,7313,Andres Blanco,2B,blana001,Andres Blanco,4/17/2004,7313,Andres Blanco,SS/3B,
400083,Andres Torres,OF,SF,San Francisco Giants,S,R,1978,1455,torrean02,Andres Torres,223497,Andres Torres,LF,5089,Andres Torres,LF,1488,Andres Torres,torrean02,6901,Andres Torres,OF,torra001,Andres Torres,4/7/2002,6901,Andres Torres,LF,
452027,Andrew Albers,P,TOR,Toronto Blue Jays,R,L,1985,52617,alberan01,Andrew Albers,2044380,Andrew Albers,RP,32754,Andrew Albers,RP,7853,Andrew Albers,alberan01,9480,Andrew Albers,P,albea001,Andrew Albers,8/6/2013,9480,Andrew Albers,RP,
545331,Andrew Aplin,RF,HOU,Houston Astros,L,L,1991,99926,,,2120618,Andrew Aplin,RF,33457,Andrew Aplin,RF,sa502787,Andrew Aplin,,,,,,,2/2/2222,,,,
457732,Andrew Bailey,P,PHI,Philadelphia Phillies,R,R,1984,51989,bailean01,Andrew Bailey,1655624,Andrew Bailey,RP,30096,Andrew Bailey,RP,1368,Andrew Bailey,bailean01,8440,Andrew Bailey,P,baila001,Andrew Bailey,4/6/2009,8440,Andrew Bailey,RP,
